Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-15 00:00:00,13477.98000000,13733.52000000,13215.56000000,13368.43000000,2125.16213200,2018-01-15 03:59:59.999,28615038.98737413,22097,988.55751600,13306251.72261222,0
2018-01-15 04:00:00,13367.00000000,13736.40000000,13251.00000000,13355.00000000,1952.40023200,2018-01-15 07:59:59.999,26436379.16980067,19449,968.53379700,13121537.52079399,0
2018-01-15 08:00:00,13346.34000000,13740.27000000,13147.79000000,13644.90000000,3087.35856700,2018-01-15 11:59:59.999,41645243.51965672,27878,1743.65901200,23533634.69996833,0
2018-01-15 12:00:00,13645.00000000,14249.99000000,13520.17000000,13990.01000000,3698.87732500,2018-01-15 15:59:59.999,51777282.57493185,33669,1956.56915700,27377916.03558171,0
2018-01-15 16:00:00,13990.01000000,14100.00000000,13655.21000000,13760.00000000,1868.79994700,2018-01-15 19:59:59.999,25935187.00920121,21770,803.32961600,11154903.47635420,0
2018-01-15 20:00:00,13774.97000000,13841.75000000,13340.64000000,13539.93000000,1919.49650200,2018-01-15 23:59:59.999,26205423.27737842,20499,970.41417400,13254072.18176037,0
2018-01-16 00:00:00,13500.00000000,13542.93000000,12501.00000000,12828.99000000,7118.01662700,2018-01-16 03:59:59.999,92271559.65540608,45878,3491.77020500,45351976.48851151,0
2018-01-16 04:00:00,12829.98000000,13169.00000000,12222.00000000,12347.32000000,3386.52600800,2018-01-16 07:59:59.999,43426175.08267123,24918,1445.93818200,18564963.67469521,0
2018-01-16 08:00:00,12340.00000000,12488.00000000,10620.88000000,12127.16000000,17380.26109900,2018-01-16 11:59:59.999,202053630.96184080,105071,8545.24983600,99535442.03324390,0
2018-01-16 12:00:00,12140.00000000,12200.00000000,11000.00000000,11964.02000000,8099.86114700,2018-01-16 15:59:59.999,94363282.54845847,60067,4124.19887400,48080564.03656074,0
2018-01-16 16:00:00,11963.90000000,11988.47000000,10575.35000000,11064.52000000,8288.47255900,2018-01-16 19:59:59.999,92490836.80702419,61725,4054.58368500,45264069.52172696,0
2018-01-16 20:00:00,11082.12000000,11439.00000000,9035.00000000,10900.00000000,19128.03173500,2018-01-16 23:59:59.999,197545343.09400167,120584,8691.66093500,89980054.17900804,0
2018-01-17 00:00:00,10899.99000000,11488.88000000,9777.00000000,10415.99000000,12871.83496600,2018-01-17 03:59:59.999,136885934.20771525,86774,6354.34905900,67678985.46238525,0
2018-01-17 04:00:00,10415.99000000,11111.00000000,9950.55000000,10765.01000000,8250.15464900,2018-01-17 07:59:59.999,87422585.04052628,61066,4030.11353500,42660031.79607325,0
2018-01-17 08:00:00,10777.93000000,10799.78000000,9587.99000000,9808.14000000,9702.34414900,2018-01-17 11:59:59.999,98384289.03605322,68354,4478.81576400,45441577.81300710,0
2018-01-17 12:00:00,9850.76000000,10333.01000000,9037.94000000,9227.47000000,14020.73652600,2018-01-17 15:59:59.999,133522798.75623530,92777,6655.21943300,63615695.29509210,0
2018-01-17 16:00:00,9227.46000000,10600.83000000,9150.01000000,10390.00000000,11753.76867300,2018-01-17 19:59:59.999,116208029.82326612,87419,5988.70451000,59247522.76584203,0
